attendance_percent,daily_study_hours,weekly_consistency_score,previous_marks,assignments_submitted,assignment_completion_rate,sleep_hours,social_media_hours,department,final_marks
85.3,2.19,7.6,83.0,4,40.0,9.0,3.5,ECE,65.0
53.7,3.02,7.0,49.0,5,50.0,8.0,4.4,CSE,42.1
44.6,4.14,1.5,67.4,3,30.0,9.3,2.5,ECE,50.9
57.4,0.24,8.2,87.8,10,100.0,3.9,3.9,CSE,46.3
49.7,4.8,2.2,74.1,8,80.0,7.2,4.1,ECE,55.9
95.8,3.77,2.2,67.0,7,70.0,7.2,3.1,IT,74.2
88.5,0.49,5.4,54.5,9,90.0,5.5,7.3,IT,40.5
78.0,5.24,5.9,55.0,9,90.0,6.2,0.1,AI&DS,75.3
92.3,5.53,5.8,75.2,0,0.0,3.3,6.3,ECE,57.8
88.2,0.37,0.9,94.6,1,10.0,8.2,1.0,CSE,52.8
51.2,1.66,8.8,74.7,8,80.0,6.8,6.4,CSE,48.2
93.6,4.84,2.7,68.5,7,70.0,3.4,4.9,ECE,60.7
72.4,4.49,1.3,78.8,2,20.0,7.8,6.7,CSE,43.3
88.4,1.11,8.9,62.9,7,70.0,6.3,0.8,IT,63.7
93.8,1.26,9.6,38.6,0,0.0,3.2,4.5,CSE,32.6
59.1,2.22,8.6,68.7,9,90.0,9.8,4.0,AI&DS,59.1
46.6,2.91,8.1,92.5,3,30.0,9.6,5.6,IT,54.4
53.7,3.71,6.6,45.5,2,20.0,6.6,4.3,IT,32.2
65.6,2.21,5.5,76.4,5,50.0,3.7,4.3,IT,52.4
89.1,2.78,0.9,47.1,6,60.0,8.3,3.4,ECE,50.1
91.6,4.48,4.1,67.1,3,30.0,6.4,2.5,ECE,62.9
40.4,0.22,3.7,40.8,6,60.0,5.1,3.9,IT,19.3
70.6,1.51,2.6,62.0,8,80.0,6.4,0.9,ECE,54.1
65.0,4.28,7.2,80.4,10,100.0,6.7,7.7,CSE,61.9
53.3,5.37,5.0,55.9,1,10.0,6.9,5.7,ECE,50.3
47.2,3.07,0.8,74.9,10,100.0,6.1,7.6,ECE,39.2
60.3,3.19,2.2,82.7,2,20.0,7.2,1.8,IT,60.3
96.6,0.64,6.8,90.6,4,40.0,9.4,7.0,AI&DS,54.1
59.4,2.68,0.8,49.1,2,20.0,5.5,6.5,AI&DS,28.4
71.1,3.2,8.5,59.0,10,100.0,8.1,5.4,AI&DS,60.5
82.2,1.45,5.0,44.1,7,70.0,9.3,5.0,CSE,43.5
61.8,1.62,4.8,94.5,9,90.0,6.2,2.5,ECE,58.0
98.3,2.26,5.9,90.6,7,70.0,6.1,6.5,AI&DS,62.6
97.7,0.12,8.2,67.4,7,70.0,7.2,4.0,IT,55.2
55.1,1.93,3.5,85.5,8,80.0,7.1,0.6,AI&DS,55.5
69.8,1.27,6.8,66.3,3,30.0,8.6,2.5,AI&DS,48.8
58.1,1.96,5.7,72.4,4,40.0,6.3,7.5,ECE,33.4
57.1,0.72,2.7,40.3,4,40.0,10.0,6.8,ECE,23.8
42.2,5.34,8.8,80.3,7,70.0,3.4,7.9,ECE,49.7
76.6,3.56,8.0,42.7,6,60.0,3.0,5.0,CSE,50.8
70.2,4.07,6.6,84.6,8,80.0,7.5,2.0,CSE,77.3
43.1,4.74,8.5,81.9,7,70.0,5.1,1.3,AI&DS,69.3
56.7,2.99,8.7,77.5,1,10.0,4.7,1.5,ECE,52.2
94.5,0.52,7.1,37.2,9,90.0,5.2,0.2,AI&DS,57.9
54.4,3.22,8.4,53.2,3,30.0,4.8,3.1,IT,42.7
48.7,3.52,7.0,50.8,5,50.0,3.2,1.5,IT,49.0
69.4,4.47,6.8,56.6,1,10.0,9.8,3.3,ECE,55.8
99.1,2.59,6.2,40.3,6,60.0,4.5,7.5,ECE,37.4
54.5,0.77,7.5,91.2,2,20.0,8.1,3.4,IT,47.5
80.3,1.7,1.6,68.2,2,20.0,8.3,7.0,ECE,44.8
85.7,2.18,8.8,53.3,10,100.0,9.5,4.8,CSE,57.8
54.3,3.88,8.7,58.8,1,10.0,3.2,2.0,CSE,42.7
83.7,3.42,0.3,61.8,10,100.0,9.1,2.8,ECE,60.1
62.1,2.14,8.3,71.0,7,70.0,6.7,0.7,IT,52.9
77.9,5.92,1.3,65.9,5,50.0,7.4,2.7,AI&DS,66.8
78.0,3.63,3.4,90.2,0,0.0,7.5,5.4,ECE,52.4
72.1,1.42,7.4,64.8,0,0.0,8.7,0.6,ECE,49.7
45.4,0.61,1.6,94.5,6,60.0,5.3,1.6,AI&DS,45.1
90.1,0.92,8.2,86.1,7,70.0,8.1,3.1,ECE,60.6
59.2,1.48,8.3,47.5,4,40.0,6.7,7.9,AI&DS,33.6
51.2,0.96,5.1,90.8,10,100.0,8.6,6.3,IT,50.8
42.4,1.12,0.1,42.0,4,40.0,9.9,5.9,CSE,16.7
75.5,1.71,2.9,84.0,3,30.0,4.4,0.9,IT,52.7
80.7,1.04,6.2,57.8,5,50.0,10.0,6.2,CSE,41.4
41.0,5.38,9.8,87.7,5,50.0,3.6,6.3,AI&DS,50.8
70.7,0.48,6.3,87.1,2,20.0,3.0,4.8,CSE,38.6
53.6,3.15,2.6,83.4,8,80.0,3.3,7.9,IT,39.8
78.7,2.46,6.3,82.4,10,100.0,5.4,2.6,CSE,69.8
50.5,5.89,5.4,53.3,6,60.0,7.4,7.5,AI&DS,49.3
81.5,0.67,7.8,39.9,0,0.0,3.5,7.3,CSE,17.0
63.2,2.39,1.1,59.2,6,60.0,3.0,0.1,ECE,47.1
96.2,5.82,7.6,45.4,4,40.0,9.6,3.6,IT,68.7
48.3,5.19,5.4,76.7,4,40.0,8.8,7.8,ECE,43.7
60.5,4.9,9.6,55.8,1,10.0,8.7,0.8,AI&DS,63.9
46.8,1.55,3.4,93.5,3,30.0,9.2,4.4,CSE,44.5
95.5,1.03,6.3,73.5,5,50.0,7.9,7.8,ECE,44.8
92.6,4.01,9.3,84.3,9,90.0,3.7,4.4,ECE,69.2
55.5,5.58,1.0,43.0,10,100.0,5.8,1.5,CSE,58.7
79.6,3.34,9.4,86.7,6,60.0,8.1,4.7,CSE,64.1
89.0,3.43,6.9,90.4,10,100.0,5.0,1.6,IT,80.3
73.3,1.68,0.7,64.2,4,40.0,7.8,4.2,ECE,43.6
71.8,4.62,3.0,71.4,8,80.0,3.2,0.6,ECE,59.0
54.5,1.12,7.1,80.9,2,20.0,5.1,4.8,AI&DS,33.1
45.6,1.94,0.7,45.5,0,0.0,6.8,4.1,IT,29.4
93.8,2.55,5.8,65.2,3,30.0,7.4,5.9,AI&DS,59.9
94.0,3.05,3.5,58.9,8,80.0,7.0,5.0,ECE,61.7
78.0,1.45,6.2,43.8,3,30.0,7.9,4.4,AI&DS,40.8
60.3,0.69,0.5,57.1,1,10.0,3.0,5.5,ECE,16.4
61.0,3.66,8.7,39.1,9,90.0,3.7,1.2,ECE,58.9
83.6,1.73,9.7,36.5,4,40.0,9.1,4.8,AI&DS,46.1
93.8,3.49,9.7,43.1,2,20.0,7.8,1.4,AI&DS,54.4
93.2,0.93,7.5,92.8,8,80.0,3.8,7.4,CSE,58.4
86.8,2.89,1.3,68.0,3,30.0,8.9,0.5,CSE,64.7
78.5,3.2,7.6,92.9,5,50.0,4.7,3.4,CSE,66.5
45.0,0.31,0.2,60.9,1,10.0,6.3,5.6,ECE,12.7
49.7,2.02,0.2,53.7,5,50.0,4.0,3.7,AI&DS,27.6
93.9,0.81,3.2,65.4,2,20.0,8.0,0.7,IT,43.2
76.4,0.38,4.9,61.4,8,80.0,7.7,4.4,ECE,55.3
40.6,5.94,7.7,41.3,10,100.0,4.5,5.1,IT,51.6
46.1,1.93,6.8,73.4,1,10.0,9.0,5.6,AI&DS,47.1
79.8,4.86,4.5,48.0,8,80.0,5.8,3.0,ECE,72.3
40.3,1.53,2.7,72.2,4,40.0,5.0,4.5,IT,27.0
49.6,4.09,10.0,74.0,7,70.0,4.1,3.6,IT,53.6
72.9,4.56,4.3,44.1,1,10.0,4.9,5.4,CSE,43.8
81.5,3.57,4.5,38.7,5,50.0,3.2,4.7,CSE,35.1
79.1,2.83,1.6,81.8,2,20.0,7.1,4.2,CSE,48.2
53.5,2.47,7.9,62.6,9,90.0,8.9,2.0,ECE,55.0
82.7,2.09,6.9,38.5,4,40.0,6.8,0.0,AI&DS,63.2
54.2,5.58,2.2,94.7,7,70.0,4.5,1.4,AI&DS,67.8
59.5,4.98,0.8,38.5,9,90.0,3.2,0.9,CSE,51.3
84.8,5.79,6.8,76.7,0,0.0,4.5,3.6,CSE,59.0
79.0,0.75,6.5,94.0,4,40.0,5.9,4.9,CSE,54.3
91.0,4.39,2.7,49.4,2,20.0,8.3,1.7,IT,56.5
79.5,5.63,9.5,43.5,3,30.0,4.3,7.5,CSE,50.4
74.1,1.09,1.5,42.3,1,10.0,8.0,0.1,IT,36.8
45.6,0.4,4.3,53.2,8,80.0,9.1,6.2,AI&DS,23.4
62.1,4.45,9.4,41.1,2,20.0,6.2,5.0,ECE,41.4
55.9,3.45,4.2,76.5,1,10.0,8.8,3.0,ECE,45.8
54.6,5.05,6.4,38.7,9,90.0,6.9,0.4,ECE,62.4
98.4,0.84,4.0,65.6,10,100.0,7.5,5.0,ECE,56.3
63.6,4.77,2.7,94.8,8,80.0,6.7,3.1,IT,68.0
93.5,1.21,9.8,83.8,6,60.0,6.2,7.5,IT,52.6
77.9,0.98,4.1,71.9,5,50.0,4.6,4.3,CSE,49.9
87.7,0.99,8.9,53.4,0,0.0,5.1,7.5,IT,37.9
70.2,4.89,2.3,72.4,4,40.0,5.0,1.8,CSE,58.3
74.6,3.99,2.1,66.6,10,100.0,6.9,5.8,CSE,60.2
69.6,3.14,0.3,60.6,10,100.0,3.8,4.9,ECE,45.9
51.7,2.15,6.5,42.8,2,20.0,9.4,5.9,IT,16.2
83.3,5.26,3.7,88.2,0,0.0,8.0,1.7,IT,68.4
56.8,2.35,8.6,62.0,3,30.0,5.8,5.3,CSE,42.7
41.5,4.9,4.7,46.7,1,10.0,4.1,4.0,CSE,28.1
78.7,2.63,9.7,57.1,1,10.0,9.2,5.9,AI&DS,48.5
50.6,2.26,1.9,59.8,2,20.0,8.8,2.6,AI&DS,36.3
96.4,2.78,8.7,84.7,7,70.0,8.1,7.1,CSE,67.8
97.2,1.81,7.8,79.0,7,70.0,4.9,0.7,AI&DS,67.2
94.9,4.49,7.7,81.2,6,60.0,5.8,6.5,AI&DS,73.5
62.2,3.02,8.4,35.7,5,50.0,3.7,6.9,CSE,36.5
40.9,1.39,7.6,60.0,8,80.0,4.3,6.5,CSE,38.9
95.7,5.4,6.3,63.9,3,30.0,8.5,4.1,IT,73.5
65.7,2.3,1.3,36.2,0,0.0,8.0,3.5,CSE,26.7
98.0,3.26,0.3,50.6,7,70.0,7.2,8.0,CSE,45.0
97.8,5.44,9.2,80.6,6,60.0,9.3,1.8,ECE,86.1
91.2,3.75,6.2,43.2,6,60.0,7.1,4.4,IT,56.4
57.7,0.7,8.0,67.1,2,20.0,6.3,5.4,IT,33.3
63.1,5.64,4.8,47.9,3,30.0,5.4,5.6,IT,54.1
91.1,3.77,1.2,35.7,9,90.0,9.6,1.6,ECE,58.8
59.0,2.01,1.3,49.5,8,80.0,3.6,5.2,CSE,29.4
50.2,0.84,6.9,93.6,5,50.0,9.5,6.5,IT,36.6
73.4,4.76,4.3,83.1,4,40.0,8.8,0.4,IT,81.1
96.2,3.72,2.0,92.6,2,20.0,3.9,7.3,AI&DS,50.3
81.8,3.2,4.9,64.3,8,80.0,7.0,0.2,IT,61.5
74.2,5.36,0.6,41.6,4,40.0,9.1,2.8,CSE,44.6
45.8,4.73,5.8,67.9,4,40.0,7.0,0.1,CSE,56.6
76.9,0.91,2.7,62.3,3,30.0,9.4,0.6,AI&DS,45.2
99.4,1.87,8.0,85.7,3,30.0,9.6,7.3,IT,59.0
48.4,1.49,3.1,40.9,0,0.0,6.0,2.8,IT,29.3
71.1,4.46,4.6,64.3,6,60.0,5.6,3.4,IT,58.4
92.6,0.2,0.1,44.0,8,80.0,9.6,1.7,ECE,43.7
84.4,3.42,0.7,54.5,2,20.0,7.7,4.8,IT,48.1
81.8,4.57,3.9,79.2,1,10.0,3.8,4.8,CSE,43.5
82.1,5.26,4.8,63.6,2,20.0,3.3,3.0,CSE,66.3
61.6,2.05,6.0,57.6,0,0.0,7.0,2.7,ECE,43.4
57.6,4.93,2.9,58.7,5,50.0,9.5,7.1,ECE,50.0
88.6,0.66,6.9,62.6,10,100.0,8.9,3.1,IT,53.9
88.6,5.08,8.6,82.1,10,100.0,7.7,3.9,AI&DS,89.1
92.0,0.76,7.8,88.5,6,60.0,4.0,2.3,ECE,56.7
94.8,2.38,0.4,92.3,10,100.0,4.8,6.3,ECE,54.3
70.7,4.78,4.8,82.2,10,100.0,9.1,3.2,IT,72.4
70.1,0.9,1.0,53.9,1,10.0,4.3,4.1,IT,26.5
87.9,1.38,2.4,76.3,7,70.0,4.9,2.0,ECE,49.8
79.0,4.33,9.9,61.3,5,50.0,3.9,7.9,AI&DS,47.3
82.1,4.32,1.4,50.3,3,30.0,7.7,2.3,ECE,50.5
87.7,3.85,5.0,85.5,4,40.0,9.6,6.2,IT,54.5
93.4,4.16,6.2,37.3,7,70.0,4.9,3.4,IT,57.2
60.3,3.26,7.0,89.1,2,20.0,6.3,1.6,ECE,50.7
62.5,1.51,5.6,62.7,2,20.0,7.4,6.4,AI&DS,32.0
45.6,2.07,0.1,73.2,10,100.0,10.0,2.7,ECE,52.3
74.7,1.09,3.3,74.6,3,30.0,3.7,6.9,ECE,37.0
42.2,5.45,5.2,88.7,0,0.0,6.5,7.3,IT,39.6
67.9,3.5,0.9,73.2,8,80.0,5.7,6.9,AI&DS,53.1
72.6,2.41,3.5,71.8,7,70.0,9.1,0.3,CSE,51.4
57.2,2.77,0.3,39.0,7,70.0,6.3,6.3,AI&DS,45.9
75.4,5.68,0.8,66.1,9,90.0,3.8,3.3,ECE,69.8
41.8,0.92,4.0,44.0,5,50.0,7.4,7.0,ECE,21.1
42.2,3.52,1.3,79.2,6,60.0,8.4,5.1,ECE,48.0
89.4,3.04,5.7,65.7,5,50.0,3.0,6.7,AI&DS,40.7
61.6,3.67,6.9,75.8,8,80.0,9.0,4.0,IT,61.8
47.6,0.11,8.0,37.5,2,20.0,4.3,4.3,ECE,20.1
71.3,5.23,2.0,40.1,2,20.0,6.9,1.2,ECE,49.2
86.2,5.59,1.7,78.0,2,20.0,5.9,6.3,AI&DS,54.4
52.9,3.39,1.0,39.3,9,90.0,8.0,3.4,CSE,44.2
77.4,4.18,6.4,39.3,2,20.0,5.6,4.0,CSE,41.9
45.1,5.53,7.1,35.7,8,80.0,9.1,6.3,IT,45.2
43.1,4.24,0.3,92.4,3,30.0,8.1,4.8,IT,40.9
71.9,0.92,9.4,79.3,6,60.0,7.5,1.6,ECE,63.8
72.4,3.46,0.5,56.2,8,80.0,8.6,4.7,AI&DS,47.2
78.2,3.64,5.4,52.8,10,100.0,8.3,3.3,ECE,58.6
83.6,2.54,7.1,56.0,6,60.0,3.3,3.8,IT,54.9
98.6,4.42,8.7,81.5,8,80.0,5.8,0.2,AI&DS,86.4
71.0,5.61,7.1,74.7,2,20.0,9.5,1.7,AI&DS,70.9
59.4,5.55,8.0,46.1,3,30.0,3.9,2.2,IT,58.0
87.7,2.71,3.4,45.4,7,70.0,8.2,5.7,CSE,60.4
56.2,0.68,8.1,40.9,5,50.0,9.8,0.1,CSE,41.8
66.3,5.91,0.8,74.6,4,40.0,3.4,3.3,AI&DS,48.2
44.7,5.03,8.9,80.9,3,30.0,7.8,7.4,ECE,53.4
41.5,0.75,5.5,50.9,7,70.0,6.3,0.9,CSE,36.4
97.8,5.53,8.2,36.3,0,0.0,7.1,4.1,ECE,54.2
90.2,5.22,4.5,39.9,8,80.0,3.6,6.3,CSE,55.7
81.8,3.11,6.4,93.1,0,0.0,3.3,7.5,CSE,48.9
64.5,3.55,5.3,52.7,7,70.0,7.7,6.0,ECE,45.9
50.4,2.39,7.3,81.2,3,30.0,8.8,5.8,IT,50.5
49.4,0.33,0.8,72.5,8,80.0,8.5,6.6,CSE,28.2
55.0,2.01,0.6,57.9,10,100.0,6.8,3.6,CSE,44.5
73.0,4.82,2.5,47.3,4,40.0,3.7,6.4,ECE,44.0
82.9,0.03,1.6,42.3,2,20.0,7.8,0.1,IT,37.8
79.6,2.0,8.7,71.9,8,80.0,4.7,7.4,CSE,41.9
56.8,2.39,2.2,81.5,10,100.0,9.4,3.5,CSE,59.6
97.3,3.22,9.8,73.6,8,80.0,8.9,4.4,IT,69.0
84.3,5.52,3.4,66.8,3,30.0,8.0,2.0,CSE,71.5
73.3,2.08,1.8,37.5,10,100.0,9.6,5.9,IT,35.8
76.7,2.08,7.9,93.1,3,30.0,3.2,0.6,IT,53.1
65.2,4.43,6.6,82.9,7,70.0,8.2,7.0,ECE,65.2
54.9,2.71,5.0,52.6,1,10.0,5.3,6.6,AI&DS,31.4
61.4,1.35,5.6,93.8,8,80.0,9.3,1.7,IT,57.1
85.5,2.71,7.2,71.1,5,50.0,4.9,6.5,ECE,53.1
40.9,0.85,2.3,69.9,8,80.0,8.1,6.3,AI&DS,29.9
47.0,1.06,10.0,79.9,7,70.0,9.1,5.1,CSE,47.5
42.8,2.99,9.7,83.7,6,60.0,3.3,3.0,AI&DS,52.1
42.4,2.51,6.5,74.4,0,0.0,5.8,2.2,IT,38.4
91.3,5.49,2.0,42.7,2,20.0,8.3,1.9,IT,56.6
82.2,2.17,6.8,55.3,10,100.0,6.2,2.5,IT,61.5
68.5,3.48,0.7,90.7,1,10.0,4.9,7.2,IT,39.9
45.9,3.79,0.3,48.5,4,40.0,4.5,0.6,IT,38.6
69.5,0.08,2.6,57.3,4,40.0,3.9,6.6,ECE,19.5
68.4,3.98,4.6,60.9,4,40.0,9.0,2.8,IT,55.3
50.4,1.07,8.7,61.4,3,30.0,7.0,4.2,ECE,35.8
66.0,5.77,7.3,71.8,4,40.0,3.5,6.4,CSE,49.5
63.9,0.89,7.4,91.6,2,20.0,5.7,7.1,IT,38.6
77.0,2.49,4.3,49.4,0,0.0,5.6,2.8,IT,48.5
78.1,0.51,3.5,42.3,4,40.0,4.3,3.7,AI&DS,30.7
42.7,5.98,3.7,46.8,8,80.0,6.0,3.3,CSE,62.1
62.5,3.01,9.9,88.2,8,80.0,5.3,0.1,IT,81.1
77.6,3.57,0.4,73.7,3,30.0,5.4,2.4,IT,47.5
70.2,0.4,8.7,52.2,2,20.0,8.2,3.7,CSE,39.8
91.4,4.5,5.8,84.0,0,0.0,4.6,3.3,ECE,71.0
79.5,1.26,4.4,86.7,1,10.0,7.5,5.8,IT,43.5
49.8,5.39,7.3,85.8,7,70.0,7.0,3.1,AI&DS,68.2
44.2,1.23,4.9,90.1,0,0.0,7.0,3.9,IT,27.9
78.5,1.14,8.7,50.1,7,70.0,7.6,3.4,AI&DS,49.8
41.6,0.22,9.0,80.3,6,60.0,6.8,5.9,AI&DS,40.6
75.1,2.83,4.2,62.6,7,70.0,9.2,6.9,IT,60.9
96.4,3.39,2.8,85.5,5,50.0,7.7,4.3,IT,64.2
74.5,0.39,5.9,78.7,8,80.0,6.8,6.3,AI&DS,38.8
63.3,4.65,9.1,81.6,2,20.0,8.8,2.4,CSE,57.1
78.6,2.72,2.1,74.4,9,90.0,7.2,4.3,CSE,58.7
67.5,3.15,6.2,45.6,3,30.0,5.0,2.8,IT,50.9
